Country,Export Value,Import Value (D),Trade Balance,Import Value,FlagBase64
Equatorial Guinea,12211 ,-1974 ,10237 ,1974 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik00MS4zIDEyMS45IDUxMiAxNjd2MTc4TDQzLjggMzkxLjN6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTAgMGg1MTJ2MTY3SDExMXoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMTExIDM0NWg0MDF2MTY3SDB6Ii8+PHBhdGggZmlsbD0iIzAwNTJiNCIgZD0iTTAgMHY1MTJsMjU2LTI1NnoiLz48cGF0aCBmaWxsPSIjZmY5ODExIiBkPSJNMzM0IDI1Ny4xaDIyLjJ2MzIuM2gtMjIuM3oiLz48cGF0aCBmaWxsPSIjNmRhNTQ0IiBkPSJNMzY3LjMgMjQ1YTIyLjMgMjIuMyAwIDEgMC00NC41IDAgMTEuMSAxMS4xIDAgMSAwIDAgMjIuMWg0NC41YTExLjEgMTEuMSAwIDEgMCAwLTIyLjJ6Ii8+PC9nPjwvc3ZnPg=="
Venezuela,12032 ,-19048 ,-7016 ,19048 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Im0wIDE0NC43IDI1NS4zLTM2LjVMNTEyIDE0NC43djIyMi42TDI1MC41IDQwNyAwIDM2Ny4zeiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0wIDBoNTEydjE0NC43SDB6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTAgMzY3LjNoNTEyVjUxMkgweiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik00NDMuNCAzMDYuNCA0MjkuOCAzMTdsNiAxNi4xLTE0LjMtOS42LTEzLjUgMTAuNyA0LjctMTYuNS0xNC4yLTkuNiAxNy4xLS42IDQuNy0xNi41IDYgMTYuMXptLTM0LjctNjAtOSAxNC41IDExIDEzLjJMMzk0IDI3MGwtOSAxNC42LTEuMy0xNy0xNi42LTQuMyAxNS45LTYuNC0xLjItMTcgMTEgMTN6bS01My00NC41LTMuNiAxNi44IDE0LjkgOC40LTE3IDEuOC0zLjYgMTYuOC03LTE1LjctMTcgMS44IDEyLjctMTEuNS03LTE1LjYgMTQuOCA4LjZ6bS02NS0yMy43IDIuMyAxNyAxNyAzLTE1LjUgNy41IDIuNCAxNy0xMi0xMi40LTE1LjQgNy42IDgtMTUuMi0xMS44LTEyLjMgMTYuOSAzem0tNjkuMyAwIDggMTUuMSAxNy0zLTEyIDEyLjQgOCAxNS4yLTE1LjQtNy42LTExLjkgMTIuNCAyLjQtMTctMTUuNC03LjUgMTYuOS0zem0tNjUgMjMuNyAxMi43IDExLjUgMTQuOC04LjYtNyAxNS43IDEyLjggMTEuNC0xNy0xLjgtNyAxNS43LTMuNy0xNi43LTE3LTEuOCAxNC44LTguNXptLTUzLjEgNDQuNSAxNS45IDYuNCAxMS0xMy0xLjIgMTcgMTYgNi40LTE2LjcgNC4yLTEuMiAxN0wxMTggMjcwbC0xNi43IDQuMiAxMS0xMy4yem0tMzQuNyA2MCAxNy4yLjUgNS45LTE2IDQuNyAxNi40IDE3LjEuNi0xNC4yIDkuNiA0LjcgMTYuNi0xMy41LTEwLjYtMTQuMiA5LjYgNS45LTE2eiIvPjwvZz48L3N2Zz4="
Sudan,11003 ,-16131 ,-5127 ,16131 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik00My42IDEwOS40IDUxMiAxNDQuN3YyMjIuNkw0My44IDM5Ny4yeiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE0NC43SDExMXoiLz48cGF0aCBmaWxsPSIjMzMzIiBkPSJNMTExIDM2Ny4zaDQwMVY1MTJIMHoiLz48cGF0aCBmaWxsPSIjNDk2ZTJkIiBkPSJNMCAwdjUxMmwyNTYtMjU2eiIvPjwvZz48L3N2Zz4="
Cyprus,10959 ,-32333 ,-21374 ,32333 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik00MDAuNyAyMjIuNmgtMzMuNGExMTEuMyAxMTEuMyAwIDAgMS0yMjIuNiAwaC0zMy40YzAgNjYuMiA0NC41IDEyMiAxMDUuMiAxMzkuMmEzNyAzNyAwIDAgMCAzLjkgNDAuNWwzNi4zLTI5LjIgMzYuNCAyOS4yYTM3IDM3IDAgMCAwIDMuNy00MC44IDE0NC44IDE0NC44IDAgMCAwIDEwMy45LTEzOC45eiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0xNjcgMjExLjVzMCA1NS42IDU1LjYgNTUuNmwxMS4xIDExLjJIMjU2czExLjEtMzMuNCAzMy40LTMzLjRjMCAwIDAtMjIuMyAyMi4zLTIyLjNIMzQ1cy0xMS00NC41IDQ0LjYtNzcuOWwtMjIuMy0xMS4xcy03OCA1NS42LTEzMy42IDQ0LjV2MjIuMmgtMjIuMmwtMTEuMi0xMS0zMy4zIDIyLjJ6Ii8+PC9nPjwvc3ZnPg=="
Albania,8844 ,-15706 ,-6862 ,15706 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiMzMzMiIGQ9Ik00MDAuNyAxOTBIMzA4YTMzLjMgMzMuMyAwIDAgMC0yNC4yLTU2LjQgMzMuMyAzMy4zIDAgMCAwLTI3LjggMTQuOSAzMy40IDMzLjQgMCAxIDAtNTIgNDEuNWgtOTIuN2E0NS44IDQ1LjggMCAwIDAgNDYgNDQuNWgtMS41YzAgMjQuNiAyMCA0NC42IDQ0LjUgNDQuNiAwIDggMi4xIDE1LjQgNS44IDIxLjhsLTM3IDM3IDI4LjQgMjguMyA0MC4yLTQwLjJhMzAuNSAzMC41IDAgMCAwIDQuOSAxLjRsLTI0LjMgNTQuOEwyNTYgNDIzbDM3LjctNDAuOC0yNC4zLTU0LjhhMzAuNCAzMC40IDAgMCAwIDQuOS0xLjRsNDAuMiA0MC4yIDI4LjMtMjguMy0zNy0zN2E0NC4yIDQ0LjIgMCAwIDAgNS45LTIxLjhjMjQuNSAwIDQ0LjUtMjAgNDQuNS00NC42aC0xLjVjMjQuNiAwIDQ2LTE5LjkgNDYtNDQuNXoiLz48L2c+PC9zdmc+"
Togo,8804 ,-30318 ,-21514 ,30318 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0yNTYgMGgyNTZ2MTAyLjRMNDgzLjggMTUxbDI4LjIgNTMuOHYxMDIuNGwtMzAuNSA1MC43IDMwLjUgNTEuN1Y1MTJIMFY0MDkuNmwzNC43LTUxTDAgMzA3LjF6Ii8+PHBhdGggZmlsbD0iI2ZmOTgxMSIgZD0iTTAgNDQuNXY0MjNWMjU2eiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0yMzEuNyAxMDIuNHYxMDIuNEg1MTJWMTAyLjR6TTAgMzA3LjJ2MTAyLjRoNTEyVjMwNy4ySDI1NmwtMTI4LjItMjYuNHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMjU2IDMwNy4yVjBIMHYzMDcuMnoiLz48cGF0aCBmaWxsPSIjZWVlIiBkPSJtMTQxLjQgMTIyLjQgMTYuNSA1MWg1My43TDE2OCAyMDVsMTYuNiA1MS00My40LTMxLjVMOTggMjU2bDE2LjUtNTFMNzEgMTczLjVoNTMuN3oiLz48L2c+PC9zdmc+"
Madagascar,8733 ,-10560 ,-1827 ,10560 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDBoMTY3bDQ1LjYgMjU3LjZMMTY3LjEgNTEySDB6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTE2NyAwaDM0NXYyNTZsLTE3Ni43IDUzLjVMMTY2LjkgMjU2eiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0xNjcgMjU2aDM0NXYyNTZIMTY3eiIvPjwvZz48L3N2Zz4="
Moldova,8672 ,-15141 ,-6469 ,15141 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0wIDBoMTQ0LjdsMzYgMjU0LjYtMzYgMjU3LjRIMHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMzY3LjMgMEg1MTJ2NTEySDM2Ny4zbC0yOS43LTI1Ny4zeiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0xNDQuNyAwaDIyMi42djUxMkgxNDQuN3oiLz48cGF0aCBmaWxsPSIjZmY5ODExIiBkPSJNMzQ1LjEgMjAxLjRIMjg0YTI3LjggMjcuOCAwIDEgMC01NS42IDBoLTYxLjJhMjguMiAyOC4yIDAgMCAwIDI4LjMgMjcuNGgtMWEyNy40IDI3LjQgMCAwIDAgMjcuNSAyNy40YzAgMTMuNCA5LjYgMjQuNSAyMi4zIDI3bC0yMS42IDQ4LjdhODguOCA4OC44IDAgMCAwIDMzLjUgNi41IDg4LjggODguOCAwIDAgMCAzMy41LTYuNUwyNjguMSAyODNhMjcuNCAyNy40IDAgMCAwIDIyLjMtMjYuOSAyNy40IDI3LjQgMCAwIDAgMjcuNC0yNy40aC0uOWEyOC4yIDI4LjIgMCAwIDAgMjguMy0yNy40eiIvPjxwYXRoIGZpbGw9IiMwMDUyYjQiIGQ9Ik0yNTYuMSAyMzkuMyAyMjAgMjU2djMzLjRsMzYuMiAyMi4zIDM2LjItMjIuM1YyNTZ6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTIyMCAyMjIuNmg3Mi4zVjI1NkgyMjB6Ii8+PC9nPjwvc3ZnPg=="
Chad,8610 ,-2417 ,6193 ,2417 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0xNjcgMGgxNzhsMjUuOSAyNTIuM0wzNDUgNTEySDE2N2wtMjkuOC0yNTMuNHoiLz48cGF0aCBmaWxsPSIjMDI2IiBkPSJNMCAwaDE2N3Y1MTJIMHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMzQ1IDBoMTY3djUxMkgzNDV6Ii8+PC9nPjwvc3ZnPg=="
Ethiopia,8394 ,-27632 ,-19239 ,27632 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Im0wIDM0NSAyNTUuNy0zMUw1MTIgMzQ1djE2N0gweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Im0wIDE2NyAyNTgtNDAuN0w1MTIgMTY3djE3OEgweiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0wIDBoNTEydjE2N0gweiIvPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMTIyLjQiIGZpbGw9IiMwMDUyYjQiLz48ZyBmaWxsPSIjZmZkYTQ0Ij48cGF0aCBkPSJtMjU2IDE2MS4yIDIyIDY4aDcxLjdsLTU4IDQyIDIyLjMgNjguMy01OC00Mi4zLTU4IDQyLjIgMjIuMi02OC4xLTU4LTQySDIzNHoiLz48cGF0aCBkPSJtMzQ0LjEgMjczLTcwLTIyLjkgNDMuMi01OS42LTE4LTEzTDI1NiAyMzdsLTQzLjMtNTkuNy0xOCAxMy4xIDQzLjMgNTkuNy03MC4xIDIyLjcgNi45IDIxLjIgNzAtMjIuOFYzNDVoMjIuM3YtNzMuN2w3MC4xIDIyLjh6Ii8+PC9nPjwvZz48L3N2Zz4="
Mauritania,8159 ,-8182 ,-23 ,8182 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxnIGZpbGw9IiNmZmRhNDQiPjxwYXRoIGQ9Ik0yNTYgMjk1LjhhODkgODkgMCAwIDEtODctNzAgODkuNCA4OS40IDAgMCAwLTIgMTkgODkgODkgMCAxIDAgMTc4IDAgODkuNCA4OS40IDAgMCAwLTItMTkgODkgODkgMCAwIDEtODcgNzB6Ii8+PHBhdGggZD0ibTI1NiAxNzggOC4zIDI1LjZIMjkxbC0yMS43IDE1LjggOC4zIDI1LjVMMjU2IDIyOWwtMjEuNyAxNS44IDguMy0yNS41LTIxLjctMTUuOGgyNi44eiIvPjwvZz48L2c+PC9zdmc+"
Georgia,7095 ,-23133 ,-16038 ,23133 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDBoMjI0bDMyIDMyIDMyLTMyaDIyNHYyMjRsLTMyIDMyIDMyIDMydjIyNEgyODhsLTMyLTMyLTMyIDMySDBWMjg4bDMyLTMyLTMyLTMyWiIvPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0yMjQgMHYyMjRIMHY2NGgyMjR2MjI0aDY0VjI4OGgyMjR2LTY0SDI4OFYwaC02NHptLTk2IDk2djMySDk2djMyaDMydjMyaDMydi0zMmgzMnYtMzJoLTMyVjk2aC0zMnptMjI0IDB2MzJoLTMydjMyaDMydjMyaDMydi0zMmgzMnYtMzJoLTMyVjk2aC0zMnpNMTI4IDMyMHYzMkg5NnYzMmgzMnYzMmgzMnYtMzJoMzJ2LTMyaC0zMnYtMzJoLTMyem0yMjQgMHYzMmgtMzJ2MzJoMzJ2MzJoMzJ2LTMyaDMydi0zMmgtMzJ2LTMyaC0zMnoiLz48L2c+PC9zdmc+"
Lebanon,6547 ,-33595 ,-27048 ,33595 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjE0NC44bC00NS44IDExM0w1MTIgMzY3LjRWNTEySDBWMzY3LjRsNDYuMy0xMTEuMUwwIDE0NC44eiIvPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Ik0wIDE0NC44aDUxMnYyMjIuNkgweiIvPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Ik0zMjIuOCAzMDAuNSAyNTYgMTc4LjFsLTY2LjggMTIyLjRoNTAuMVYzMzRoMzMuNHYtMzMuNHoiLz48L2c+PC9zdmc+"
Kyrgyzstan,6322 ,-52034 ,-45712 ,52034 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNkODAwMjciIGQ9Ik0wIDBoNTEydjUxMkgweiIvPjxwYXRoIGZpbGw9IiNmZmRhNDQiIGQ9Ik0zODEuMiAyNTYgMzMwIDI4MGwyNy4zIDQ5LjYtNTUuNi0xMC42LTcgNTYuMS0zOC43LTQxLjMtMzguNyA0MS4zLTctNTYuMS01NS42IDEwLjYgMjcuMy00OS41LTUxLjItMjQuMSA1MS4yLTI0LTI3LjMtNDkuNiA1NS42IDEwLjYgNy01Ni4xIDM4LjcgNDEuMyAzOC43LTQxLjMgNyA1Ni4xIDU1LjYtMTAuNi0yNy4zIDQ5LjV6Ii8+PGNpcmNsZSBjeD0iMjU2IiBjeT0iMjU2IiByPSI3Ny45IiBmaWxsPSIjZDgwMDI3Ii8+PHBhdGggZmlsbD0iI2ZmZGE0NCIgZD0iTTIxNyAyNTZjLTEuOCAwLTMuNy4xLTUuNS4zYTQ0LjMgNDQuMyAwIDAgMCAxMC40IDI4LjMgNzggNzggMCAwIDEgMTUtMjQuOUE1NS40IDU1LjQgMCAwIDAgMjE3IDI1NnptMjQgNDJhNDQuNCA0NC40IDAgMCAwIDMwIDBjLTIuNi0xMC03LjgtMTktMTUtMjYtNy4yIDctMTIuNCAxNi0xNSAyNnptNTMuNi02NC4zYTQ0LjUgNDQuNSAwIDAgMC03Ny4yIDAgNzcuNCA3Ny40IDAgMCAxIDM4LjYgMTAuNSA3Ny40IDc3LjQgMCAwIDEgMzguNi0xMC41em0tMTkuNiAyNmE3OCA3OCAwIDAgMSAxNS4xIDI1IDQ0LjMgNDQuMyAwIDAgMCAxMC40LTI4LjQgNTUuOCA1NS44IDAgMCAwLTUuNS0uMyA1NS4zIDU1LjMgMCAwIDAtMjAgMy43eiIvPjwvZz48L3N2Zz4="
Mauritius,5236 ,-14021 ,-8785 ,14021 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM2ZGE1NDQiIGQ9Im0wIDM3OC4zIDI1NC0zNy4xIDI1OCAzN1Y1MTJIMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJtMCAyNTYuMSAyNTIuMi0zMy4zTDUxMiAyNTZ2MTIyLjRIMHoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNMCAxMzMuNyAyNDkuNyA5NyA1MTIgMTMzLjd2MTIyLjRIMHoiLz48cGF0aCBmaWxsPSIjZDgwMDI3IiBkPSJNMCAwaDUxMnYxMzMuN0gweiIvPjwvZz48L3N2Zz4="
New Caledonia,5018 ,-5333 ,-315 ,5333 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiM0OTZlMmQiIGQ9Ik0wIDM1Mmg1MTJ2MTYwSDB6Ii8+PHBhdGggZmlsbD0iI2Q4MDAyNyIgZD0iTTAgMTYwaDUxMnYxOTJIMHoiLz48cGF0aCBmaWxsPSIjMDA1MmI0IiBkPSJNMCAwaDUxMnYxNjBIMHoiLz48cGF0aCBmaWxsPSIjZmZkYTQ0IiBkPSJNMzk4IDI1NmExNjggMTY4IDAgMSAxLTMzNiAwIDE2OCAxNjggMCAwIDEgMzM2IDB6Ii8+PHBhdGggZmlsbD0iIzMzMyIgZD0iTTIzMCA4MGExNzYgMTc2IDAgMSAwIDAgMzUyIDE3NiAxNzYgMCAwIDAgMC0zNTJ6bS04IDE2djM0Yy04IDQtMTQgOC0xNSAxNmwtMSAxNiA2LTMgMTAtNHY4YTI0IDI0IDAgMCAwLTE2IDIzIDI0IDI0IDAgMCAwIDE2IDIydjhoLTIwdjE2aDIwdjhhMjQgMjQgMCAwIDAtMTYgMjIgMjQgMjQgMCAwIDAgMTYgMjN2N2gtMjB2MTdoMjB2N2EyNCAyNCAwIDAgMC0xNiAyMyAyNCAyNCAwIDAgMCAxNiAyMnY4Yy0xMCAwLTE4IDMtMjMgNy03IDUtMjIgMjAtMzAgMjhhMTYwIDE2MCAwIDAgMSA1My0zMDh6bTE2IDBhMTYwIDE2MCAwIDAgMSA1MSAzMDlsLTMwLTI5Yy01LTQtMTItNi0yMS03di04YTI0IDI0IDAgMCAwIDE2LTIyIDI0IDI0IDAgMCAwLTE2LTIzdi03aDIxdi0xNmgtMjF2LThhMjQgMjQgMCAwIDAgMTYtMjMgMjQgMjQgMCAwIDAtMTYtMjJ2LThoMjF2LTE2aC0yMXYtN2EyNCAyNCAwIDAgMCAxNi0yMyAyNCAyNCAwIDAgMC0xNi0yM3YtMjBjNi01IDExLTEzIDE3LTIzIDQtOCAyLTExIDItMTFsLTIgMy0xNyAxMVY5NnoiLz48L2c+PC9zdmc+"
Niger,4999 ,-5679 ,-680 ,5679 ,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSI1MTIiIGhlaWdodD0iNTEyIiB2aWV3Qm94PSIwIDAgNTEyIDUxMiI+PG1hc2sgaWQ9ImEiPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1NiIgcj0iMjU2IiBmaWxsPSIjZmZmIi8+PC9tYXNrPjxnIG1hc2s9InVybCgjYSkiPjxwYXRoIGZpbGw9IiNlZWUiIGQ9Im0wIDE0NC43IDI1NS4zLTM2LjVMNTEyIDE0NC43djIyMi42TDI1MC41IDQwNyAwIDM2Ny4zeiIvPjxwYXRoIGZpbGw9IiNmZjk4MTEiIGQ9Ik0wIDBoNTEydjE0NC43SDB6Ii8+PHBhdGggZmlsbD0iIzZkYTU0NCIgZD0iTTAgMzY3LjNoNTEyVjUxMkgweiIvPjxjaXJjbGUgY3g9IjI1NiIgY3k9IjI1Ni4xIiByPSI4OSIgZmlsbD0iI2ZmOTgxMSIvPjwvZz48L3N2Zz4="
